-999 -999 -999    -1.81700 -999.00000    0.05698 -999.00000 -999.00000
-999 -999 -999     0.03300 -999.00000    0.06705 -999.00000 -999.00000
-999 -999 -999    -1.72500 -999.00000    0.07750 -999.00000 -999.00000
-999 -999 -999    -4.32100 -999.00000    0.07992 -999.00000 -999.00000
-999 -999 -999    -3.82500 -999.00000    0.07853 -999.00000 -999.00000
-999 -999 -999     1.12500 -999.00000    0.08765 -999.00000 -999.00000
-999 -999 -999     0.13300 -999.00000    0.10458 -999.00000 -999.00000
-999 -999 -999    -2.94600 -999.00000    0.11390 -999.00000 -999.00000
-999 -999 -999    -3.31700 -999.00000    0.11666 -999.00000 -999.00000
-999 -999 -999    -1.10000 -999.00000    0.12321 -999.00000 -999.00000
-999 -999 -999    -5.84200 -999.00000    0.12495 -999.00000 -999.00000
-999 -999 -999    -4.81200 -999.00000    0.11957 -999.00000 -999.00000
-999 -999 -999    -1.59200 -999.00000    0.12274 -999.00000 -999.00000
-999 -999 -999     1.32500 -999.00000    0.13822 -999.00000 -999.00000
-999 -999 -999     2.51700 -999.00000    0.16232 -999.00000 -999.00000
-999 -999 -999     2.39200 -999.00000    0.18917 -999.00000 -999.00000
-999 -999 -999     4.47100 -999.00000    0.22082 -999.00000 -999.00000
-999 -999 -999     4.10400 -999.00000    0.25701 -999.00000 -999.00000
-999 -999 -999     2.03300 -999.00000    0.28869 -999.00000 -999.00000
-999 -999 -999     4.89600 -999.00000    0.32294 -999.00000 -999.00000
-999 -999 -999     3.96700 -999.00000    0.36254 -999.00000 -999.00000
-999 -999 -999    -0.17100 -999.00000    0.39089 -999.00000 -999.00000
-999 -999 -999     2.66300 -999.00000    0.41659 -999.00000 -999.00000
-999 -999 -999     7.57100 -999.00000    0.46206 -999.00000 -999.00000
-999 -999 -999     3.81700 -999.00000    0.51157 -999.00000 -999.00000
-999 -999 -999     1.52500 -999.00000    0.54632 -999.00000 -999.00000
-999 -999 -999     1.09200 -999.00000    0.57437 -999.00000 -999.00000
-999 -999 -999     2.92500 -999.00000    0.60660 -999.00000 -999.00000
-999 -999 -999     8.61700 -999.00000    0.66003 -999.00000 -999.00000
-999 -999 -999     8.44200 -999.00000    0.73012 -999.00000 -999.00000
-999 -999 -999     1.14200 -999.00000    0.77999 -999.00000 -999.00000
-999 -999 -999     1.75400 -999.00000    0.81092 -999.00000 -999.00000
-999 -999 -999    -1.12900 -999.00000    0.83540 -999.00000 -999.00000
-999 -999 -999    -1.27900 -999.00000    0.85109 -999.00000 -999.00000
-999 -999 -999     0.41200 -999.00000    0.87153 -999.00000 -999.00000
-999 -999 -999     1.83300 -999.00000    0.90148 -999.00000 -999.00000
-999 -999 -999     1.96200 -999.00000    0.93635 -999.00000 -999.00000
-999 -999 -999     5.24200 -999.00000    0.98192 -999.00000 -999.00000
-999 -999 -999     8.78300 -999.00000    1.04908 -999.00000 -999.00000
-999 -999 -999     7.73700 -999.00000    1.12472 -999.00000 -999.00000
-999 -999 -999     4.48300 -999.00000    1.18717 -999.00000 -999.00000
-999 -999 -999     2.05800 -999.00000    1.23156 -999.00000 -999.00000
-999 -999 -999     3.95400 -999.00000    1.27435 -999.00000 -999.00000
-999 -999 -999     8.78700 -999.00000    1.33924 -999.00000 -999.00000
-999 -999 -999     6.37500 -999.00000    1.41221 -999.00000 -999.00000
-999 -999 -999     5.54200 -999.00000    1.47450 -999.00000 -999.00000
-999 -999 -999     4.97100 -999.00000    1.53206 -999.00000 -999.00000
-999 -999 -999     3.89600 -999.00000    1.58403 -999.00000 -999.00000
-999 -999 -999     6.24200 -999.00000    1.64019 -999.00000 -999.00000
-999 -999 -999     8.99600 -999.00000    1.71347 -999.00000 -999.00000
-999 -999 -999     6.57100 -999.00000    1.78764 -999.00000 -999.00000
-999 -999 -999     2.43800 -999.00000    1.83918 -999.00000 -999.00000
-999 -999 -999     3.70400 -999.00000    1.88075 -999.00000 -999.00000
-999 -999 -999     4.99600 -999.00000    1.93090 -999.00000 -999.00000
-999 -999 -999     7.38800 -999.00000    1.99344 -999.00000 -999.00000
-999 -999 -999    12.71700 -999.00000    2.08217 -999.00000 -999.00000
-999 -999 -999    12.61700 -999.00000    2.18835 -999.00000 -999.00000
-999 -999 -999    12.59200 -999.00000    2.29345 -999.00000 -999.00000
-999 -999 -999     9.46300 -999.00000    2.38693 -999.00000 -999.00000
-999 -999 -999     6.93700 -999.00000    2.46020 -999.00000 -999.00000
